complex_id,slope_mean_100m,slope_median_100m,slope_stdev_100m,slope_min_100m,slope_max_100m,slope_range_100m,slope_mean_150m,slope_median_150m,slope_stdev_150m,slope_min_150m,slope_max_150m,slope_range_150m,slope_mean_200m,slope_median_200m,slope_stdev_200m,slope_min_200m,slope_max_200m,slope_range_200m,slope_mean_300m,slope_median_300m,slope_stdev_300m,slope_min_300m,slope_max_300m,slope_range_300m,school_pc1,straight_dist_m,walk_dist_m,walk_time_min,avg_daily_ridership,station_zone_ord,unit_cnt,trade_activity_ratio,n_quarters
27,12.7325107574463,12.3809595108032,0.775575333645911,11.8191480636597,13.6946392059326,1.87549114227295,12.5398876402113,12.3400707244873,0.877213424591732,11.3567504882812,13.7997007369995,2.44295024871826,12.6461179852486,12.4275918006897,1.11121341155954,10.9299840927124,14.7894611358643,3.85947704315186,12.6559901624113,12.3400707244873,1.08097327503267,10.9299840927124,14.8211622238159,3.89117813110352,0.0671918812695998,473.4,591.7,8,16961.0,2,18.0,0.17857142857142858,28
28,12.0111382007599,12.1618309020996,0.275245548190367,11.5351676940918,12.1857233047485,0.650555610656738,11.8237274885178,12.0810322761536,0.48795198369061,10.9299840927124,12.3573236465454,1.42733955383301,11.8704101443291,12.0329742431641,0.408832590347465,10.9299840927124,12.3573236465454,1.42733955383301,12.0788187419667,12.1824083328247,0.429609122852837,10.9299840927124,13.1238975524902,2.19391345977783,0.0671918812695998,265.4,331.7,5,16961.0,1,98.0,0.2857142857142857,28
29,13.4145956039429,12.4009552001953,2.03393074053492,12.0673828125,17.4427928924561,5.37541007995605,13.0074413087633,12.5729541778564,1.59296745258362,12.0419902801514,17.4427928924561,5.40080261230469,12.8929911851883,12.5804686546326,1.76327632427958,9.62422561645508,17.4427928924561,7.81856727600098,12.0242028880764,12.5729541778564,2.00517445114851,7.23573875427246,17.4427928924561,10.2070541381836,0.2143461003739376,726.3,907.9,12,16961.0,3,17.0,0.10714285714285714,28
30,12.7047991752625,12.883903503418,0.992397399287064,11.3567504882812,13.6946392059326,2.33788871765137,12.9058833122253,12.9995546340942,1.04125070169003,11.3567504882812,14.4280614852905,3.07131099700928,12.7773411273956,12.4601583480835,1.04654332570674,11.2930030822754,14.7894611358643,3.49645805358887,12.8641755160163,12.5860967636108,1.16346215520193,10.9299840927124,15.54088306427,4.61089897155762,0.0671918812695998,514.3,642.8,9,16961.0,2,18.0,0.17857142857142858,28
31,12.4712247848511,12.4010896682739,0.157532321078096,12.3473033905029,12.7354164123535,0.388113021850586,12.4775499105453,12.4491014480591,0.121921111089882,12.3473033905029,12.7354164123535,0.388113021850586,12.5034952759743,12.4788093566895,0.113458285549265,12.3473033905029,12.7354164123535,0.388113021850586,12.5345986502511,12.5286455154419,0.234504754009089,12.0673828125,13.0956735610962,1.02829074859619,0.2143461003739376,518.7,648.4,9,16961.0,2,19.0,0.10714285714285714,28
32,12.7047991752625,12.883903503418,0.992397399287064,11.3567504882812,13.6946392059326,2.33788871765137,12.6448844671249,12.3605151176453,0.875484045178487,11.3567504882812,13.7997007369995,2.44295024871826,12.7766637802124,12.3605151176453,1.11503248905452,11.2930030822754,14.7894611358643,3.49645805358887,12.7589224134173,12.5393571853638,1.05880223133915,10.9299840927124,14.8211622238159,3.89117813110352,0.0671918812695998,509.8,637.3,8,16961.0,2,12.0,0.10714285714285714,28
33,13.7513988018036,12.658842086792,2.1456725871321,12.2451181411743,17.4427928924561,5.19767475128174,13.0074413087633,12.5729541778564,1.59296745258362,12.0419902801514,17.4427928924561,5.40080261230469,12.6190932393074,12.6168928146362,1.48741692991834,9.62422561645508,17.4427928924561,7.81856727600098,12.1015289250542,12.5804686546326,1.99273919136449,7.23573875427246,17.4427928924561,10.2070541381836,0.2143461003739376,747.5,934.4,12,16961.0,3,10.0,0.07142857142857142,28
34,12.5559084415436,12.5308933258057,0.25583266601903,12.2451181411743,12.9167289733887,0.671610832214355,13.0435942411423,12.4869546890259,1.68611243914462,12.0419902801514,17.4427928924561,5.40080261230469,12.9077744166056,12.660831451416,1.24667600913982,12.0419902801514,17.4427928924561,5.40080261230469,12.3165766852243,12.5729541778564,1.75507950608415,7.94655513763428,17.4427928924561,9.49623775482178,0.2143461003739376,724.2,905.2,12,16961.0,3,18.0,0.17857142857142858,28
35,12.3670661449432,12.3469386100769,0.188374137503097,12.1694049835205,12.6049823760986,0.435577392578125,12.3953038321601,12.3989372253418,0.184762496248463,12.1694049835205,12.7217826843262,0.552377700805664,12.4220209682689,12.3573236465454,0.180399690737061,12.1694049835205,12.7298564910889,0.560451507568359,12.3704633182949,12.3996686935425,0.321020798167432,11.3343706130981,13.0056886672974,1.67131805419922,0.2143461003739376,414.5,518.1,7,16961.0,2,31.0,0.07142857142857142,28
36,11.3515319824219,11.3878154754639,0.293916923133721,10.9299840927124,11.7005128860474,0.770528793334961,11.8389600118001,11.8191480636597,0.59910687676064,10.9299840927124,13.1238975524902,2.19391345977783,11.8506854375203,11.8191480636597,0.499942066522221,10.9299840927124,13.1238975524902,2.19391345977783,12.0612822668893,12.1209411621094,0.525403458674619,10.9299840927124,13.6946392059326,2.76465511322021,0.0671918812695998,385.7,482.2,7,16961.0,2,18.0,0.17857142857142858,28
